N,P,K,temperature,humidity,ph,rainfall,label
28.19,76.34,20.46,29.6,41.55,6.01,133.11,pigeonpeas
34.51,63.59,23.0,24.63,51.9,5.26,141.92,pigeonpeas
6.29,66.2,17.9,28.46,60.18,6.59,105.03,pigeonpeas
24.99,71.43,23.33,28.87,40.36,6.35,93.11,pigeonpeas
21.95,65.75,18.07,22.24,58.64,5.67,133.96,pigeonpeas
16.18,61.37,22.84,21.43,52.98,6.37,109.95,pigeonpeas
2.26,67.48,24.44,25.7,60.14,6.26,101.94,pigeonpeas
16.73,75.02,16.01,21.33,48.29,5.86,148.82,pigeonpeas
2.7,70.37,16.79,29.65,43.4,5.81,134.27,pigeonpeas
28.18,68.45,18.47,22.77,47.93,5.41,118.98,pigeonpeas
10.74,65.75,21.57,29.62,58.11,5.15,94.54,pigeonpeas
38.06,65.95,15.92,25.19,58.71,6.3,106.04,pigeonpeas
0.6,79.3,17.51,26.11,61.2,6.22,108.77,pigeonpeas
10.84,71.95,23.66,29.36,43.18,5.31,146.68,pigeonpeas
29.46,77.66,17.03,25.05,61.03,6.36,114.49,pigeonpeas
0.62,71.66,17.53,23.4,68.73,5.8,140.39,pigeonpeas
7.54,73.45,24.77,19.22,40.25,5.87,95.56,pigeonpeas
29.94,78.29,19.34,21.1,53.03,6.45,90.54,pigeonpeas
23.58,72.27,21.38,20.9,61.42,5.18,101.96,pigeonpeas
35.1,74.77,15.14,20.98,46.43,5.54,104.85,pigeonpeas
2.5,69.18,22.33,25.28,60.19,5.16,147.09,pigeonpeas
33.54,76.1,23.23,29.19,56.33,5.4,127.01,pigeonpeas
29.72,74.76,20.21,18.82,51.13,6.84,125.07,pigeonpeas
21.53,65.38,18.68,28.74,59.99,6.57,117.26,pigeonpeas
25.21,64.97,22.05,23.13,53.28,6.3,146.18,pigeonpeas
2.56,76.49,17.92,23.33,40.66,5.6,120.16,pigeonpeas
2.25,69.82,24.27,19.26,62.93,5.82,129.31,pigeonpeas
10.41,63.19,16.6,18.85,45.57,6.33,142.9,pigeonpeas
32.57,73.7,16.1,21.47,49.29,5.5,120.9,pigeonpeas
21.42,67.14,18.54,27.94,63.68,5.62,144.83,pigeonpeas
38.11,66.53,18.54,24.07,68.23,6.75,96.15,pigeonpeas
15.71,71.07,20.03,20.33,65.76,6.35,140.27,pigeonpeas
34.35,74.97,19.39,25.33,44.81,6.35,100.76,pigeonpeas
27.76,64.59,16.18,19.98,40.06,6.44,133.94,pigeonpeas
20.6,63.23,15.84,18.23,44.97,6.78,104.49,pigeonpeas
14.17,62.11,17.22,24.23,58.23,5.49,93.46,pigeonpeas
15.64,64.68,17.2,29.52,58.49,6.11,114.95,pigeonpeas
17.16,70.82,21.96,26.43,45.15,6.0,114.72,pigeonpeas
34.82,72.63,20.33,19.38,58.17,5.23,110.23,pigeonpeas
5.71,73.84,17.06,22.7,66.87,5.41,120.47,pigeonpeas
16.77,60.36,22.93,18.83,54.23,6.12,127.71,pigeonpeas
27.55,65.07,15.1,26.68,56.07,6.67,139.28,pigeonpeas
33.73,69.7,18.34,27.5,53.54,5.37,141.3,pigeonpeas
35.3,69.33,15.76,22.65,64.11,6.8,102.21,pigeonpeas
2.68,77.55,18.89,24.5,69.04,5.13,128.9,pigeonpeas
2.96,67.51,23.04,23.2,69.92,6.12,109.27,pigeonpeas
8.8,67.01,18.73,18.82,51.09,5.93,133.36,pigeonpeas
26.27,74.18,15.08,20.61,59.85,5.97,90.32,pigeonpeas
32.18,75.46,20.48,18.8,63.0,6.17,136.92,pigeonpeas
30.07,76.06,20.18,19.68,60.13,6.24,134.54,pigeonpeas
6.8,63.9,23.9,27.0,67.25,6.52,125.83,pigeonpeas
26.17,77.78,20.79,25.59,44.69,5.95,132.98,pigeonpeas
10.84,64.05,18.14,20.9,46.45,5.85,144.47,pigeonpeas
20.28,63.76,15.77,26.35,51.48,6.64,129.57,pigeonpeas
31.85,65.44,21.92,21.17,68.17,6.27,109.47,pigeonpeas
10.78,63.82,21.95,20.62,57.86,5.53,129.72,pigeonpeas
32.6,75.56,22.61,20.25,42.65,6.4,112.1,pigeonpeas
17.29,60.62,17.6,18.4,66.38,5.49,123.44,pigeonpeas
1.56,73.34,18.23,28.78,66.64,5.65,144.06,pigeonpeas
39.85,76.51,23.45,20.99,57.3,5.13,95.7,pigeonpeas
39.96,66.53,22.48,27.68,65.74,7.0,104.49,pigeonpeas
1.61,68.22,16.3,18.27,50.81,6.57,123.97,pigeonpeas
12.51,73.09,17.32,18.17,62.93,6.25,135.74,pigeonpeas
1.56,76.74,21.2,24.76,58.74,6.73,125.22,pigeonpeas
23.24,79.81,22.57,23.31,61.22,5.78,103.73,pigeonpeas
23.87,78.56,24.29,22.1,55.83,5.42,149.74,pigeonpeas
39.24,72.99,23.04,26.58,57.79,5.11,117.29,pigeonpeas
26.99,73.55,18.73,29.3,45.02,6.0,131.45,pigeonpeas
27.89,72.97,17.75,19.87,59.08,6.2,100.76,pigeonpeas
28.21,69.1,21.68,28.05,45.09,5.04,136.75,pigeonpeas
24.39,73.99,23.38,27.63,68.83,6.07,119.31,pigeonpeas
16.08,63.07,20.73,21.32,67.64,6.17,125.57,pigeonpeas
14.2,61.04,15.32,23.08,42.54,6.21,142.86,pigeonpeas
35.32,73.18,17.11,28.36,66.58,5.39,134.25,pigeonpeas
8.6,56.05,24.97,24.24,52.43,5.37,78.94,mothbeans
13.95,56.95,15.62,26.68,31.68,6.43,72.68,mothbeans
25.58,58.76,15.85,27.08,31.78,4.13,49.17,mothbeans
14.07,45.37,16.01,25.34,33.68,6.42,70.37,mothbeans
29.03,48.79,17.78,30.39,38.16,4.4,49.3,mothbeans
3.89,45.13,18.55,29.39,31.56,4.13,72.36,mothbeans
4.41,46.85,23.65,25.24,32.07,4.95,52.1,mothbeans
16.9,56.08,16.37,28.65,42.64,3.93,64.96,mothbeans
8.21,49.76,15.82,27.68,37.66,5.97,42.28,mothbeans
12.56,49.17,22.25,28.59,46.68,5.83,74.49,mothbeans
9.42,50.76,23.4,31.92,52.24,4.61,47.81,mothbeans
14.68,54.83,19.93,27.87,50.96,4.58,74.39,mothbeans
12.2,46.56,19.54,30.1,33.15,4.09,78.06,mothbeans
5.26,51.35,20.79,27.92,46.12,4.19,62.11,mothbeans
11.17,53.23,16.41,28.57,34.63,4.34,48.75,mothbeans
5.49,56.51,17.86,31.42,54.25,5.21,45.72,mothbeans
11.24,55.95,18.67,24.7,43.92,6.04,71.84,mothbeans
5.25,53.46,17.21,25.75,51.85,4.25,50.53,mothbeans
0.02,57.41,22.93,29.02,48.76,3.96,58.33,mothbeans
10.54,41.88,19.86,31.37,31.0,4.37,48.3,mothbeans
7.14,58.17,19.68,27.73,49.01,3.96,59.49,mothbeans
12.9,51.94,25.0,30.16,39.95,5.98,46.83,mothbeans
0.91,44.09,18.4,28.08,45.38,6.23,60.39,mothbeans
15.04,41.0,15.35,28.41,40.95,6.02,46.43,mothbeans
0.75,48.98,17.37,24.4,48.11,3.83,64.33,mothbeans
8.43,43.47,18.8,30.41,39.8,5.75,45.02,mothbeans
23.18,44.74,21.77,28.53,53.23,4.66,42.65,mothbeans
0.57,56.54,20.25,30.2,35.86,4.54,41.2,mothbeans
28.84,53.36,24.33,26.12,45.29,5.54,52.7,mothbeans
25.44,58.94,23.85,29.91,36.94,4.34,78.53,mothbeans
0.31,54.32,22.06,28.98,54.75,4.44,53.6,mothbeans
2.37,48.86,17.61,26.75,50.86,6.31,47.43,mothbeans
11.18,58.57,15.62,24.74,34.07,5.29,46.02,mothbeans
29.04,48.93,20.02,25.97,41.77,5.49,70.05,mothbeans
22.62,51.56,24.04,30.54,48.93,3.67,40.28,mothbeans
6.37,53.27,19.11,27.22,52.11,6.19,76.37,mothbeans
9.42,53.82,17.72,25.52,34.62,4.53,57.2,mothbeans
24.93,42.4,22.35,28.25,37.2,4.98,52.0,mothbeans
17.88,48.68,16.64,24.93,43.67,6.21,53.76,mothbeans
21.99,53.17,24.32,30.57,44.17,5.47,75.94,mothbeans
11.99,46.54,15.11,30.61,50.02,3.81,63.07,mothbeans
13.92,42.37,24.81,25.72,31.68,5.28,69.55,mothbeans
0.97,53.17,20.32,24.83,34.31,5.2,51.85,mothbeans
28.15,56.37,24.84,26.08,54.24,4.79,53.9,mothbeans
1.51,41.06,21.92,27.66,35.66,5.34,50.11,mothbeans
17.33,47.18,23.24,30.57,41.93,4.55,54.5,mothbeans
24.17,46.56,17.09,24.68,41.67,4.95,73.64,mothbeans
6.64,47.62,23.08,30.59,39.62,4.88,52.13,mothbeans
27.98,42.37,24.34,29.47,43.29,3.6,59.02,mothbeans
12.23,43.22,21.56,31.77,44.05,5.64,42.74,mothbeans
12.53,42.33,21.13,31.51,46.54,3.73,54.19,mothbeans
16.52,48.06,23.34,30.52,45.3,4.62,50.21,mothbeans
3.18,47.1,19.13,29.41,46.45,3.71,55.81,mothbeans
5.45,43.14,23.27,24.34,40.48,4.0,75.17,mothbeans
16.71,44.63,20.02,29.85,53.95,4.16,75.45,mothbeans
28.03,58.33,21.35,29.04,40.08,5.76,61.25,mothbeans
20.32,48.57,22.31,30.6,33.66,6.0,61.61,mothbeans
25.34,48.63,18.79,31.32,36.28,6.03,59.36,mothbeans
15.42,46.17,20.73,26.6,30.98,4.32,40.26,mothbeans
29.35,59.31,18.95,29.83,38.65,5.51,72.22,mothbeans
28.4,48.0,22.83,26.13,54.76,3.58,64.14,mothbeans
19.79,53.76,16.2,31.51,34.53,5.37,48.91,mothbeans
9.22,50.93,19.17,25.28,34.27,4.75,70.29,mothbeans
26.94,41.68,18.93,24.8,30.41,5.49,64.1,mothbeans
4.89,44.68,15.24,30.68,54.37,3.91,49.26,mothbeans
26.05,58.53,19.2,24.4,30.98,5.22,55.72,mothbeans
0.86,51.67,15.11,30.3,37.66,3.62,63.53,mothbeans
11.93,59.48,20.44,26.2,47.74,4.31,76.17,mothbeans
11.24,51.0,15.51,27.41,50.81,5.92,48.97,mothbeans
6.78,56.35,24.3,24.76,41.25,4.51,74.83,mothbeans
2.51,44.22,22.52,24.41,42.31,4.83,53.38,mothbeans
11.84,50.6,16.61,28.58,50.14,5.78,46.16,mothbeans
4.48,45.36,18.61,27.27,46.99,3.67,41.39,mothbeans
11.76,53.94,16.93,29.13,36.5,6.16,75.83,mothbeans
8.92,44.6,19.11,25.92,46.81,5.98,66.92,mothbeans
24.73,47.94,16.56,29.9,39.01,5.51,50.83,mothbeans
2.44,59.85,16.56,31.91,54.43,5.88,66.38,mothbeans
17.33,57.32,17.89,27.74,45.48,4.73,57.1,mothbeans
9.91,51.28,23.51,25.61,53.36,5.57,72.93,mothbeans
16.69,55.59,15.16,30.55,31.0,6.17,79.68,mothbeans
8.82,44.21,22.65,26.02,51.64,3.81,45.04,mothbeans
29.37,53.48,23.47,26.59,46.91,5.28,64.13,mothbeans
20.48,51.51,19.29,26.21,49.21,4.18,67.69,mothbeans
7.0,52.51,22.47,25.75,31.5,3.89,64.24,mothbeans
25.48,40.9,22.34,26.73,41.96,6.29,53.28,mothbeans
13.96,40.27,15.82,26.07,30.7,5.39,57.06,mothbeans
16.44,43.49,17.96,29.31,54.13,3.65,75.62,mothbeans
17.31,51.28,20.0,24.56,32.25,5.3,53.64,mothbeans
27.52,48.13,16.43,29.72,37.33,5.08,67.91,mothbeans
27.01,55.84,21.76,29.44,53.65,4.39,40.04,mothbeans
8.16,44.36,21.62,29.07,44.84,3.55,69.15,mothbeans
9.71,53.3,20.57,26.74,33.36,3.78,73.26,mothbeans
27.55,53.0,16.03,27.22,48.22,5.84,44.73,mothbeans
0.0,54.24,18.57,26.04,30.32,5.12,74.05,mothbeans
28.73,51.31,20.14,24.68,43.72,4.64,64.29,mothbeans
11.66,44.81,15.95,26.52,32.42,4.03,79.49,mothbeans
13.32,50.64,23.74,31.96,44.57,5.94,53.08,mothbeans
9.17,48.05,21.73,29.46,37.88,3.9,65.3,mothbeans
3.85,51.57,21.93,29.6,48.84,6.12,60.0,mothbeans
21.91,52.38,16.87,24.21,37.11,4.83,64.68,mothbeans
34.0,33.92,16.26,29.63,62.16,6.72,65.49,mungbean
21.65,31.72,15.57,21.05,71.71,6.82,53.18,mungbean
25.51,46.4,15.42,24.98,73.79,6.38,55.77,mungbean
24.55,47.96,23.1,25.83,74.6,6.55,67.43,mungbean
18.65,33.8,22.02,25.56,67.17,7.37,45.73,mungbean
12.63,31.14,22.67,27.02,66.63,7.01,58.86,mungbean
30.25,39.08,19.12,29.35,65.02,6.18,65.46,mungbean
38.77,37.56,15.62,23.39,70.12,6.24,68.03,mungbean
39.91,39.03,18.55,24.01,62.3,7.32,59.52,mungbean
15.49,43.19,19.42,26.48,61.23,7.22,77.92,mungbean
25.95,49.09,16.51,24.77,72.04,6.87,59.05,mungbean
13.52,32.54,18.92,21.63,74.69,6.31,47.05,mungbean
22.09,41.9,23.72,25.77,66.91,7.2,63.91,mungbean
3.17,41.32,24.08,23.96,65.93,6.22,50.3,mungbean
17.31,41.91,15.81,29.4,75.1,6.88,74.0,mungbean
3.21,39.54,21.3,28.29,75.67,6.42,77.93,mungbean
4.97,47.5,24.71,21.77,74.44,6.06,59.19,mungbean
20.65,41.61,24.36,26.72,69.63,7.21,78.27,mungbean
0.88,49.65,15.86,28.14,65.61,6.2,60.39,mungbean
25.76,37.62,15.55,25.99,78.05,6.57,52.57,mungbean
17.7,30.97,23.2,28.26,71.76,6.53,72.99,mungbean
22.19,46.52,21.31,27.84,71.97,6.62,78.53,mungbean
21.64,42.1,17.2,26.26,71.43,6.28,47.09,mungbean
24.17,45.27,20.23,22.27,73.33,6.12,60.46,mungbean
6.53,33.69,17.02,23.87,61.02,6.6,62.91,mungbean
19.33,37.66,23.39,21.45,70.11,6.09,47.49,mungbean
22.95,41.32,23.78,25.58,79.2,6.07,48.43,mungbean
1.76,33.71,20.41,26.46,60.91,7.42,74.48,mungbean
11.86,31.54,16.7,21.27,62.47,6.78,53.6,mungbean
14.33,49.79,21.84,29.49,62.85,6.57,64.42,mungbean
3.07,30.08,21.7,26.42,68.22,6.73,59.54,mungbean
0.96,36.71,16.77,20.98,79.13,6.9,70.5,mungbean
12.61,37.86,17.37,20.97,63.58,7.2,68.71,mungbean
21.88,39.5,24.22,20.73,65.61,6.52,72.38,mungbean
39.7,34.81,23.74,28.31,64.49,6.6,59.34,mungbean
39.13,33.62,22.99,23.34,74.62,6.63,65.24,mungbean
33.3,46.08,23.66,20.6,73.84,6.21,59.55,mungbean
21.94,38.05,20.2,29.97,62.7,7.01,58.86,mungbean
5.32,33.17,24.49,28.8,78.14,7.49,52.29,mungbean
14.22,43.38,19.84,24.18,67.16,6.89,65.15,mungbean
6.46,39.43,20.53,25.7,64.2,7.11,45.88,mungbean
14.19,45.6,20.64,22.61,73.9,6.85,72.87,mungbean
29.4,42.2,19.88,21.33,65.23,6.63,65.98,mungbean
20.55,35.76,15.06,24.96,65.71,7.1,45.84,mungbean
23.39,48.83,16.74,24.72,61.83,6.94,64.27,mungbean
16.29,40.43,23.97,21.96,60.45,7.29,65.2,mungbean
35.63,41.94,23.1,24.3,75.0,7.37,65.02,mungbean
7.23,35.38,16.99,22.47,66.13,6.83,65.58,mungbean
17.06,42.31,15.82,20.88,63.44,6.78,52.49,mungbean
11.33,38.01,23.12,20.14,72.99,7.0,72.95,mungbean
37.31,30.4,16.54,28.86,69.17,6.85,68.21,mungbean
27.16,48.63,24.97,27.2,65.74,7.32,46.72,mungbean
9.24,47.95,17.56,22.21,62.76,7.29,62.5,mungbean
27.0,34.78,22.58,27.6,66.25,6.62,52.34,mungbean
39.06,42.91,24.35,23.03,75.64,7.15,69.21,mungbean
38.63,37.87,16.31,26.72,74.59,6.86,52.24,mungbean
20.18,36.24,19.27,26.45,74.9,6.35,59.19,mungbean
10.77,33.97,22.83,29.09,67.4,7.13,76.39,mungbean
33.84,33.66,24.56,23.77,66.78,6.09,62.02,mungbean
4.36,34.97,18.17,28.09,77.51,6.45,75.05,mungbean
34.29,45.29,16.47,26.9,78.9,7.02,56.61,mungbean
20.02,42.91,20.11,21.2,66.24,7.2,75.15,mungbean
5.49,49.05,18.29,26.62,75.04,7.22,78.1,mungbean
12.52,47.17,16.32,27.05,74.84,7.02,53.83,mungbean
34.92,33.38,15.54,27.17,69.51,7.27,58.42,mungbean
6.73,46.73,20.49,21.89,74.41,6.77,66.15,mungbean
18.44,46.57,23.3,27.09,62.11,7.26,68.49,mungbean
27.88,37.26,23.79,27.25,62.25,6.61,76.02,mungbean
1.89,49.23,21.79,26.31,65.41,6.37,77.97,mungbean
11.93,45.51,18.93,21.39,60.21,6.82,79.15,mungbean
14.77,37.14,18.44,25.21,68.81,7.32,62.69,mungbean
20.31,32.77,24.83,22.5,61.47,6.99,65.84,mungbean
16.61,38.44,22.85,21.96,76.41,6.97,59.66,mungbean
18.32,35.13,22.52,25.13,66.42,6.89,79.85,mungbean
17.41,48.41,18.45,20.55,64.08,6.63,52.69,mungbean
0.01,48.3,23.44,27.42,63.36,6.18,47.37,mungbean
28.96,48.58,19.31,21.19,70.25,6.52,58.12,mungbean
24.85,44.37,16.11,20.36,79.89,6.35,46.88,mungbean
7.6,30.78,18.92,28.02,66.82,6.67,68.65,mungbean
20.36,47.23,23.66,20.1,75.56,6.69,79.61,mungbean
19.33,49.74,22.55,22.49,70.77,7.49,75.01,mungbean
3.89,44.13,18.46,20.07,68.07,6.35,73.66,mungbean
13.49,46.55,15.01,23.08,64.82,6.35,47.39,mungbean
7.48,41.11,17.91,24.17,67.54,7.31,76.69,mungbean
19.72,36.6,16.07,29.53,61.2,6.45,55.43,mungbean
12.82,33.29,22.83,21.22,72.7,6.19,47.47,mungbean
36.38,33.8,23.21,25.45,61.56,7.43,53.64,mungbean
34.39,33.38,23.54,20.13,70.24,7.15,77.72,mungbean
36.37,46.39,23.88,21.99,65.68,6.43,58.2,mungbean
15.73,40.89,16.6,26.91,63.35,6.47,62.62,mungbean
31.86,44.79,21.46,21.56,70.94,6.13,58.21,mungbean
16.54,30.8,17.74,29.56,79.07,6.53,46.51,mungbean
7.16,37.84,24.48,21.41,75.27,6.16,79.34,mungbean
15.26,45.5,18.43,26.28,63.84,6.22,77.83,mungbean
36.71,47.75,21.25,28.08,61.38,6.5,55.98,mungbean
25.43,37.12,16.49,25.96,76.29,6.57,49.63,mungbean
7.87,34.75,18.0,26.43,72.02,7.04,57.69,mungbean
32.96,34.08,19.69,28.01,63.6,6.16,75.93,mungbean
13.72,43.68,15.25,26.9,66.32,6.08,66.34,mungbean
9.63,37.74,15.81,21.47,65.96,6.13,76.88,mungbean
30.12,69.68,18.23,28.08,69.26,7.16,88.63,blackgram
34.12,74.83,22.47,33.84,65.54,7.53,57.82,blackgram
33.32,78.33,20.28,28.72,67.6,7.34,88.08,blackgram
44.76,71.95,25.81,25.5,62.57,7.47,59.08,blackgram
44.88,78.38,21.24,28.42,69.62,7.44,69.56,blackgram
37.03,78.19,22.69,32.62,68.12,7.34,67.35,blackgram
46.97,67.27,24.94,34.41,66.23,7.74,82.2,blackgram
46.9,67.9,17.51,29.02,66.74,7.45,79.96,blackgram
37.14,72.69,18.86,32.49,65.46,7.2,61.68,blackgram
44.97,69.65,19.16,34.67,67.15,7.96,67.08,blackgram
39.5,77.96,22.25,32.07,62.52,7.45,54.94,blackgram
34.12,60.02,17.39,34.77,62.42,7.66,83.56,blackgram
41.01,63.06,24.28,31.0,67.31,7.77,89.02,blackgram
41.47,66.83,23.48,25.68,68.97,7.12,63.11,blackgram
46.31,71.95,20.94,29.73,68.55,7.34,84.79,blackgram
31.76,75.54,25.48,26.82,64.3,7.17,78.26,blackgram
40.71,72.71,18.96,27.12,60.41,7.32,72.39,blackgram
47.16,73.34,21.35,34.53,67.19,7.93,71.1,blackgram
35.18,61.06,24.26,26.21,63.03,7.53,72.58,blackgram
42.01,63.33,20.8,31.17,69.7,7.73,86.9,blackgram
45.24,71.83,18.92,31.67,66.23,7.6,69.59,blackgram
40.57,66.69,22.19,26.98,68.05,7.19,53.4,blackgram
38.72,73.17,21.38,27.77,65.58,7.35,87.31,blackgram
48.45,70.05,20.28,32.37,60.37,7.47,63.45,blackgram
48.41,60.24,22.53,32.41,64.85,7.09,88.9,blackgram
40.36,72.28,19.37,29.83,64.29,7.07,54.25,blackgram
46.75,64.8,18.95,30.05,67.69,7.06,73.07,blackgram
32.38,60.73,17.53,33.34,61.18,7.05,67.52,blackgram
46.88,65.25,21.22,25.4,64.49,7.58,72.84,blackgram
36.65,66.31,18.07,28.67,60.99,7.77,88.65,blackgram
49.4,77.3,23.01,32.01,62.85,7.63,68.23,blackgram
39.64,75.16,19.82,28.18,69.25,7.06,69.43,blackgram
48.26,72.21,22.46,27.5,63.43,7.85,72.37,blackgram
40.29,61.99,17.16,34.64,63.77,7.6,53.19,blackgram
43.66,78.65,22.76,26.26,65.82,7.77,66.26,blackgram
47.6,72.97,25.99,31.24,61.31,7.31,58.07,blackgram
48.18,75.21,23.76,28.01,61.84,7.76,68.97,blackgram
34.52,72.33,17.4,28.26,64.69,7.15,89.39,blackgram
34.18,62.61,19.04,32.69,64.26,7.57,50.84,blackgram
30.69,68.92,25.17,33.85,60.87,7.54,86.53,blackgram
37.76,76.59,18.34,34.35,67.51,7.94,77.06,blackgram
37.27,78.76,19.76,28.32,67.01,7.77,87.18,blackgram
34.1,75.96,24.39,25.64,63.87,7.28,62.18,blackgram
49.66,72.86,24.18,34.77,63.77,7.8,67.38,blackgram
47.39,63.61,26.48,27.19,63.26,7.76,65.75,blackgram
42.16,68.89,24.42,27.28,60.58,7.3,68.97,blackgram
33.36,67.1,21.0,25.57,65.83,7.88,56.07,blackgram
41.96,73.29,21.19,32.01,64.11,7.5,50.29,blackgram
43.83,73.23,17.38,28.68,69.79,7.42,70.08,blackgram
48.2,74.35,22.82,32.98,68.64,7.46,69.0,blackgram
37.72,79.33,23.97,25.83,68.63,7.48,52.75,blackgram
40.99,68.34,25.78,27.04,68.26,7.56,52.18,blackgram
49.44,70.25,19.91,29.69,68.58,7.3,57.71,blackgram
32.58,65.96,24.8,29.72,62.27,7.17,63.31,blackgram
48.8,66.86,26.88,29.85,61.79,7.89,68.41,blackgram
44.19,79.67,17.5,25.97,67.2,7.28,57.37,blackgram
30.79,60.44,24.74,26.34,64.68,7.61,67.13,blackgram
30.54,75.67,17.11,32.62,68.93,7.43,71.42,blackgram
39.54,67.78,25.87,33.94,63.36,7.62,87.08,blackgram
49.24,70.18,21.53,27.79,69.59,7.14,73.19,blackgram
35.65,65.58,21.05,34.99,60.55,7.58,53.3,blackgram
33.09,68.79,22.1,27.59,63.16,7.09,62.13,blackgram
49.33,78.89,20.35,30.71,69.1,7.01,82.43,blackgram
48.97,61.83,18.61,34.61,65.38,7.01,60.31,blackgram
39.0,73.86,24.33,34.95,62.88,7.54,71.33,blackgram
38.11,63.38,26.77,33.53,64.98,7.6,59.09,blackgram
40.88,73.9,22.15,34.9,66.11,7.37,80.89,blackgram
33.41,67.69,20.47,29.32,67.82,7.48,81.76,blackgram
41.53,66.84,25.1,27.38,62.24,7.5,60.43,blackgram
30.18,72.97,22.11,29.46,69.67,7.57,84.54,blackgram
32.79,71.38,25.68,30.83,67.18,7.37,53.7,blackgram
39.16,67.89,25.67,27.44,69.67,7.96,59.91,blackgram
36.96,77.91,26.67,29.43,63.21,7.53,77.51,blackgram
35.47,74.73,17.52,25.49,63.86,7.35,62.63,blackgram
39.82,66.41,18.92,28.09,69.75,7.41,67.79,blackgram
41.53,79.67,19.42,31.81,67.16,7.61,53.54,blackgram
43.54,61.28,22.96,32.4,62.11,7.84,51.21,blackgram
46.88,69.21,19.18,26.34,69.53,7.07,57.96,blackgram
36.96,72.4,22.45,26.26,62.9,7.24,58.54,blackgram
38.22,74.08,19.17,28.67,63.91,7.98,88.19,blackgram
46.0,64.83,17.68,28.17,62.67,7.51,81.11,blackgram
47.17,76.9,20.6,31.87,63.13,7.06,78.06,blackgram
30.2,68.18,20.29,31.93,67.66,7.3,82.47,blackgram
35.88,68.93,24.27,31.93,69.87,7.23,76.49,blackgram
42.19,78.3,18.56,32.52,65.68,7.27,68.98,blackgram
36.68,71.59,25.89,30.69,66.32,7.52,52.05,blackgram
34.66,69.84,20.1,26.82,65.04,7.32,60.32,blackgram
39.28,62.67,26.28,33.68,67.08,7.11,81.04,blackgram
46.16,75.36,18.14,31.44,68.34,7.58,75.86,blackgram
39.17,70.57,17.34,31.39,60.81,7.44,61.71,blackgram
40.91,62.67,23.92,32.95,61.63,7.1,55.82,blackgram
47.54,70.56,21.67,26.07,66.5,7.87,83.13,blackgram
42.52,61.51,18.12,25.49,62.57,7.14,60.4,blackgram
37.7,78.86,23.1,33.35,67.1,7.11,79.44,blackgram
35.5,72.78,20.41,34.98,62.64,7.28,87.23,blackgram
30.49,73.93,24.25,33.36,69.74,7.98,52.61,blackgram
46.44,72.93,23.47,26.28,66.5,7.98,86.47,blackgram
38.78,60.8,20.62,33.26,67.01,7.46,52.2,blackgram
38.54,69.38,26.29,31.41,63.12,7.53,52.64,blackgram
49.45,67.2,21.78,28.55,66.83,7.66,78.61,blackgram
5.36,66.31,18.25,21.56,60.6,7.49,65.44,lentil
17.82,68.98,21.59,15.77,70.06,8.05,43.56,lentil
8.43,76.78,25.77,17.43,68.26,6.48,38.57,lentil
18.22,76.41,24.6,15.49,72.66,7.1,46.98,lentil
10.93,61.83,24.57,20.82,62.8,6.47,41.45,lentil
1.14,71.76,25.4,15.17,60.74,7.43,63.68,lentil
6.53,66.99,22.96,17.74,60.4,7.84,56.9,lentil
11.62,74.83,23.75,17.06,65.29,6.32,39.54,lentil
13.52,77.17,26.63,21.28,62.76,6.26,63.45,lentil
11.58,72.37,24.81,22.03,72.52,6.14,61.16,lentil
17.02,65.72,23.4,18.14,74.37,6.08,55.29,lentil
3.33,74.24,18.76,17.35,67.42,8.29,42.41,lentil
2.88,75.18,22.01,24.12,62.2,7.61,43.15,lentil
3.14,73.67,22.94,22.55,64.64,7.12,49.19,lentil
19.68,65.84,19.95,18.55,68.47,6.63,67.04,lentil
5.31,77.92,18.03,21.57,73.6,6.42,68.89,lentil
9.06,78.91,23.77,18.02,62.82,6.76,38.26,lentil
2.88,62.09,21.23,22.96,62.12,6.33,57.52,lentil
3.94,61.95,18.67,24.24,72.32,6.89,57.95,lentil
10.75,73.54,23.83,21.29,63.99,6.1,50.94,lentil
17.82,71.39,25.32,24.92,62.45,7.73,58.6,lentil
19.6,79.71,23.87,17.44,71.98,6.27,62.32,lentil
18.2,67.66,23.31,19.3,66.57,6.78,61.67,lentil
18.72,78.82,18.75,23.75,71.06,6.63,37.35,lentil
5.36,78.24,23.33,22.21,63.86,7.8,35.98,lentil
7.51,72.54,18.46,23.23,63.53,7.63,49.18,lentil
11.92,62.15,17.17,24.1,64.04,8.05,69.98,lentil
4.23,65.3,23.63,24.65,73.74,7.26,62.83,lentil
2.71,79.55,26.64,16.64,64.49,6.25,44.51,lentil
16.32,67.57,17.88,18.42,74.72,7.57,49.57,lentil
3.33,79.72,25.21,17.81,61.05,6.14,39.21,lentil
11.62,78.58,21.97,23.43,66.69,7.77,60.62,lentil
3.48,67.22,23.37,15.71,65.42,7.34,69.87,lentil
9.49,76.32,21.32,22.96,68.93,8.22,49.38,lentil
12.09,72.6,21.17,16.44,61.4,6.04,65.57,lentil
4.73,64.23,24.36,18.2,67.59,6.41,68.59,lentil
17.03,77.28,21.07,22.62,62.16,6.02,35.7,lentil
11.73,69.11,22.18,15.07,66.34,7.8,50.49,lentil
14.64,64.66,25.13,20.88,63.16,6.59,56.98,lentil
16.6,68.31,19.58,23.67,70.04,7.12,52.08,lentil
4.09,72.54,20.59,24.96,67.2,7.21,54.8,lentil
